Subject,Best_Val_Acc,Test_Acc,Test_F1
01,0.7857142686843872,0.58,0.573105996021597
02,0.7142857313156128,0.64,0.6420337832102538
03,0.8285714387893677,0.74,0.7381424575932585
04,0.8571428656578064,0.78,0.7805816502039412
05,0.8285714387893677,0.76,0.7609661835748792
06,0.699999988079071,0.58,0.5857017543859648
07,0.800000011920929,0.68,0.6786662168241115
08,0.7428571581840515,0.74,0.7397493734335839
09,0.6714285612106323,0.62,0.615637489445539
10,0.7428571581840515,0.74,0.7350877192982456
11,0.7857142686843872,0.72,0.7188164251207729
12,0.800000011920929,0.7,0.6973333333333332
13,0.6714285612106323,0.52,0.505754752493883
14,0.6428571343421936,0.56,0.5511111111111111
15,0.7428571581840515,0.68,0.6781780538302277
