Subject,Accuracy,Precision,F1_Score
01,0.58,0.6260471881060117,0.5731059960215971
02,0.64,0.6602813852813852,0.6420337832102538
03,0.74,0.7478049728049728,0.7381424575932586
04,0.78,0.8078427128427127,0.7805816502039411
05,0.76,0.7757342657342657,0.7609661835748792
06,0.58,0.6365079365079365,0.5857017543859648
07,0.68,0.7147727272727272,0.6786662168241117
08,0.74,0.741010101010101,0.7397493734335839
09,0.62,0.623968253968254,0.615637489445539
10,0.74,0.7428571428571429,0.7350877192982456
11,0.72,0.7478205128205129,0.7188164251207729
12,0.7,0.74,0.6973333333333332
13,0.52,0.5097319347319348,0.5057547524938829
14,0.56,0.5542857142857143,0.551111111111111
15,0.68,0.7158041958041959,0.6781780538302278
